"stop_code","stop_name","address","routes","url"
"19","Trạm xe bus Bưu điện Hà Đông - Cầu Am (đường Vạn Phúc - Hà Đông)","","19, 22C, 57, 77, 89","https://xebuyt.net/106-buu-dien-ha-dong-cau-am-duong-van-phuc-ha-dong"
"Q11 007","Trạm xe buýt [Q11 007] Trường Nguyễn Thi, Quận 11","1456 Đường 3/2, Quận 11, Tp.Hồ Chí Minh","02, 14","https://xebuyt.net/106-truong-nguyen-thi"
"HNB 006","Trạm xe buýt [HNB 006] Ngân hàng Agribank, Huyện Nhà Bè","2132 Huỳnh Tấn Phát, Huyện Nhà Bè, Tp.Hồ Chí Minh","20, 75, 110","https://xebuyt.net/1060-ngan-hang-agribank"
"HNB 004","Trạm xe buýt [HNB 004] Trường Lâm Văn Bền, Huyện Nhà Bè","57/4 Huỳnh Tấn Phát, Huyện Nhà Bè, Tp.Hồ Chí Minh","20, 75, 110","https://xebuyt.net/1061-truong-lam-van-ben"
"HNB 008","Trạm xe buýt [HNB 008] Đào Tông Nguyên, Huyện Nhà Bè","Đối diện 23/3 Huỳnh Tấn Phát, Huyện Nhà Bè, Tp.Hồ Chí Minh","20, 75, 110","https://xebuyt.net/1062-dao-tong-nguyen"
"HNB 005","Trạm xe buýt [HNB 005] Chùa Lá, Huyện Nhà Bè","4/11C Huỳnh Tấn Phát, Huyện Nhà Bè, Tp.Hồ Chí Minh","20, 75, 110","https://xebuyt.net/1063-chua-la"
"HNB 010","Trạm xe buýt [HNB 010] Ngã Ba Bờ Đăng, Huyện Nhà Bè","12/8H Huỳnh Tấn Phát, Huyện Nhà Bè, Tp.Hồ Chí Minh","20, 75, 110","https://xebuyt.net/1064-nga-ba-bo-dang"
"HNB 007","Trạm xe buýt [HNB 007] Chùa Tháp Võ, Huyện Nhà Bè","536 Huỳnh Tấn Phát, Huyện Nhà Bè, Tp.Hồ Chí Minh","20, 75, 110","https://xebuyt.net/1065-chua-thap-vo"
"HNB 009","Trạm xe buýt [HNB 009] Công Tiến Thọ, Huyện Nhà Bè","15/6B Huỳnh Tấn Phát, Huyện Nhà Bè, Tp.Hồ Chí Minh","20, 75, 110","https://xebuyt.net/1066-cong-tien-tho"
"HNB 030","Trạm xe buýt [HNB 030] Nguyễn Bình, Huyện Nhà Bè","98 Nguyễn Bình, Huyện Nhà Bè, Tp.Hồ Chí Minh","110","https://xebuyt.net/1067-nguyen-binh"
"HNB 032","Trạm xe buýt [HNB 032] Đình Đức Hưng Thạnh, Huyện Nhà Bè","243 ( Đình Đức Hưng Thạnh) Nguyễn Bình, Huyện Nhà Bè, Tp.Hồ Chí Minh","110","https://xebuyt.net/1068-dinh-duc-hung-thanh"
"HNB 029","Trạm xe buýt [HNB 029] Ngã Ba Bờ Đăng, Huyện Nhà Bè","32 Nguyễn Bình, Huyện Nhà Bè, Tp.Hồ Chí Minh","110","https://xebuyt.net/1069-nga-ba-bo-dang"
"Q11 006","Trạm xe buýt [Q11 006] Chùa Phụng Sơn, Quận 11","1354 Đường 3/2, Quận 11, Tp.Hồ Chí Minh","02, 14","https://xebuyt.net/107-chua-phung-son"
"109","Trạm xe bus Điểm xén hè (Toà nhà CT2 - KĐT Bắc Linh Đàm) - Cầu Dậu","","05, 29, 37, 60A, 60B","https://xebuyt.net/107-diem-xen-he-toa-nha-ct2-kdt-bac-linh-dam-cau-dau"
"HNB 034","Trạm xe buýt [HNB 034] Kho bạc Huyện Nhà Bè, Huyện Nhà Bè","UBND Huyện Nhà Bè Nguyễn Bình, Huyện Nhà Bè, Tp.Hồ Chí Minh","110","https://xebuyt.net/1070-kho-bac-huyen-nha-be"
"HNB 031","Trạm xe buýt [HNB 031] Nguyễn Bình, Huyện Nhà Bè","192 (13/1) Nguyễn Bình, Huyện Nhà Bè, Tp.Hồ Chí Minh","110","https://xebuyt.net/1071-nguyen-binh"
"HNB 036","Trạm xe buýt [HNB 036] Cầu Bà Chiêm, Huyện Nhà Bè","578 (5/12) Nguyễn Bình, Huyện Nhà Bè, Tp.Hồ Chí Minh","110","https://xebuyt.net/1072-cau-ba-chiem"
"HNB 033","Trạm xe buýt [HNB 033] Trường tiểu học Nguyễn Bình, Huyện Nhà Bè","Đối diện 269A (Đ/d 1/2C) Nguyễn Bình, Huyện Nhà Bè, Tp.Hồ Chí Minh","110","https://xebuyt.net/1073-truong-tieu-hoc-nguyen-binh"
"HNB 073","Trạm xe buýt [HNB 073] Hàng Tre, Huyện Nhà Bè","Đối diện 206 Nguyễn Văn Tạo, Huyện Nhà Bè, Tp.Hồ Chí Minh","72, 110","https://xebuyt.net/1074-hang-tre"
"HNB 035","Trạm xe buýt [HNB 035] Cầu Mương Chuối, Huyện Nhà Bè","486 (17/6) Nguyễn Bình, Huyện Nhà Bè, Tp.Hồ Chí Minh","110","https://xebuyt.net/1075-cau-muong-chuoi"
"HNB 072","Trạm xe buýt [HNB 072] Công an Nhà Bè, Huyện Nhà Bè","Công an huyện Nhà Bè Nguyễn Văn Tạo, Huyện Nhà Bè, Tp.Hồ Chí Minh","72, 110","https://xebuyt.net/1076-cong-an-nha-be"
"HNB 071","Trạm xe buýt [HNB 071] UBND Xã Long Thới, Huyện Nhà Bè","288 (239) Nguyễn Văn Tạo, Huyện Nhà Bè, Tp.Hồ Chí Minh","72, 110","https://xebuyt.net/1077-ubnd-xa-long-thoi"
"HNB 112","Trạm xe buýt [HNB 112] Vòng xoay Long Thới, Huyện Nhà Bè","74 Nguyễn Văn Tạo, Huyện Nhà Bè, Tp.Hồ Chí Minh","72, 110","https://xebuyt.net/1078-vong-xoay-long-thoi"
"HNB 069","Trạm xe buýt [HNB 069] Công ty may Đại Sơn, Huyện Nhà Bè","482B Nguyễn Văn Tạo, Huyện Nhà Bè, Tp.Hồ Chí Minh","72, 110","https://xebuyt.net/1079-cong-ty-may-dai-son"
"Q6 062","Trạm xe buýt [Q6 062] Chợ Minh Phụng, Quận 6","101 Minh Phụng, Quận 6, Tp.Hồ Chí Minh","02, 148","https://xebuyt.net/108-cho-minh-phung"
"05","Trạm xe bus Điểm xén hè (Cửa hàng xăng dầu số 75) - Số 6 Cầu Dậu","","05, 29, 37, 60A, 60B","https://xebuyt.net/108-diem-xen-he-cua-hang-xang-dau-so-75-so-6-cau-dau"
"HNB 070","Trạm xe buýt [HNB 070] Chợ Bà Chồi, Huyện Nhà Bè","372 (Chợ Bà Chồi) Nguyễn Văn Tạo, Huyện Nhà Bè, Tp.Hồ Chí Minh","72, 110","https://xebuyt.net/1080-cho-ba-choi"
"HNB 068","Trạm xe buýt [HNB 068] Trung tâm dạy nghề, Huyện Nhà Bè","568 (Đ/d Trung tâm dạy nghề Nhà Bè ) Nguyễn Văn Tạo, Huyện Nhà Bè, Tp.Hồ Chí Minh","110","https://xebuyt.net/1081-trung-tam-day-nghe"
"HNB 066","Trạm xe buýt [HNB 066] Cầu Hiệp Phước, Huyện Nhà Bè","718 Nguyễn Văn Tạo, Huyện Nhà Bè, Tp.Hồ Chí Minh","110","https://xebuyt.net/1082-cau-hiep-phuoc"
