csv_code,routeName,operator,transportType,totalDistance,vehicleType,operatingTime,baseFare,numTrips,tripTime,frequency
66,Ben Xe Cho Lon Ben Xe An Suong,(08) 37.130.711,Phổ thông - Có trợ giá,"15,35",80 chỗ,04:25 - 20:00,,220 chuyến/ngày,55 phút,8 - 15 phút
67,Bến xe Miền Đông (cũ) - Bến xe Miền Đông (mới),"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,19.20 km,30 chỗ,03:00 - 22:45,"- Vé lượt không trợ giá: 10,000 VNĐ - Vé lượt không trợ giá: 20,000 VNĐ - Vé lượt không trợ giá HSSV: 5,000 VNĐ",60 chuyến/ngày,50 phút,30 - 45 phút
68,Bến xe buýt Chợ Lớn - Đại học Tài Chính - Marketing,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,20.15 km,55 chỗ,05:00 - 19:00,"- Vé lượt trợ giá: 6,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 135,000 VNĐ",108 chuyến/ngày,65 phút,12 - 20 phút
69,Bến xe buýt Sài Gòn - Khu dân cư Vĩnh Lộc,"Công ty Cổ phần vận tải Thành phố, ĐT: (028)39225033",Phổ thông - Có trợ giá,22.45 km,51 chỗ,05:00 - 20:00,"- Vé lượt trợ giá: 6,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé tập: 135,000 VNĐ",144 chuyến/ngày,85 phút,10 - 15 phút
70,Tân Quy - Bến Súc,"Hợp tác xã vận tải 19/5, ĐT: 18001557",Phổ thông - Có trợ giá,25.55 km,40 chỗ,04:00 - 20:20,"- Vé lượt trợ giá: 7,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé tập: 157,500 VNĐ",110 chuyến/ngày,60 phút,15 - 20 phút
71,Bến xe An Sương - Phật Cô Đơn,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,24.20 km,30 chỗ,05:00 - 20:30,"- Vé lượt trợ giá: 6,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé tập: 135,000 VNĐ",126 chuyến/ngày,65 phút,10 - 20 phút
72,Bến xe buýt Sài Gòn - Hiệp Phước,"Công ty Cổ phần vận tải Thành phố, ĐT: (028)39225033",Phổ thông - Có trợ giá,21.60 km,47 - 51 chỗ,04:40 - 19:15,"- Vé lượt trợ giá: 6,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 135,000 VNĐ",232 chuyến/ngày,55 phút,6 - 11 phút
73,Chợ Bình Chánh - Khu công nghiệp Lê Minh Xuân,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,22.35 km,55 chỗ,04:30 - 19:00,"- Vé lượt trợ giá: 6,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 135,000 VNĐ",132 chuyến/ngày,60 phút,12 - 15 phút
74,Bến xe An Sương - Bến xe Củ Chi,"Hợp tác xã vận tải liên tỉnh và du lịch Việt Thắng, ĐT: (028)38.535.935",Phổ thông - Có trợ giá,21.85 km,51 chỗ,03:30 - 21:00,"- Vé lượt trợ giá: 6,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 135,000 VNĐ",300 chuyến/ngày,45 phút,6 - 15 phút
75,Sài Gòn - Cần Giờ,"Hợp tác xã vận tải số 26, ĐT: (028)38.738.194",Phổ thông - Có trợ giá,63.50 km,40 chỗ,04:00 - 17:20,"- Vé lượt không trợ giá: 20,000 VNĐ - Vé lượt không trợ giá: 40,000 VNĐ",12 chuyến/ngày,140 phút,90 phút
