Key,RouteNo,RouteName,RouteVarShortName,StartStop,EndStop,Outbound,RunningTime
31_1,146,Lượt đi: Bến xe Miền Đông - Chợ Hiệp Thành,Chợ Hiệp Thành,Bến xe Miền Đông,Hiệp Thành,TRUE,60
31_1,146,Lượt về: Chợ Hiệp Thành - Bến xe Miền Đông,Bến xe Miền Đông,Hiệp Thành,Bến xe Miền Đông,FALSE,60
32_1,148,Lượt đi: Bến xe Miền Tây - BÃI HẬU CẦN SỐ 1,Gò Vấp,Bến xe Miền Tây,BÃI HẬU CẦN SỐ 1,TRUE,50
32_1,148,Lượt về: BÃI HẬU CẦN SỐ 1 - Bến xe Miền Tây,Bến xe Miền Tây,BÃI HẬU CẦN SỐ 1,Bến xe Miền Tây,FALSE,57
33_1,149,Lượt đi: Ga xe buýt Sài Gòn - Khu dân cư Bình Hưng Hòa B,Khu dân cư Bình Hưng Hòa,TĐH xe buýt Sài Gòn,Khu dân cư Bình Hưng Hòa B,TRUE,54
33_1,149,Lượt đi: Khu dân cư Bình Hưng Hòa B - Ga xe buýt Sài Gòn,Công viên 23/9,Khu dân cư Bình Hưng Hòa B,TĐH xe buýt Sài Gòn,FALSE,60
34_1,15,lượt đi,Đầm Sen,Đường 44,BÃI XE BUÝT ĐẦM SEN,TRUE,55
34_1,15,lượt về Đầm Sen - Bến Phú Định,Bến Phú Định,BÃI XE BUÝT ĐẦM SEN,Đường 44,FALSE,55
35_1,150,Lượt đi: Bến xe Chợ Lớn - Ngã 3 Tân Vạn,Ngã 3 Tân Vạn,Bến xe Chợ Lớn,Tân Vạn,TRUE,80
35_1,150,Lượt về: Ngã 3 Tân Vạn - Bến xe Chợ Lớn,Bến xe Chợ Lớn,Tân Vạn,Bến xe Chợ Lớn,FALSE,80
36_1,151,Lượt đi: Bến xe Miền Tây - Bến xe An Sương,Bến xe An Sương,Bến xe Miền Tây,Bến xe An Sương,TRUE,45
36_1,151,Lượt về: Bến xe An Sương - Bến xe Miền Tây,Bến xe Miền Tây,Bến xe An Sương,Bến xe Miền Tây,FALSE,45
37_1,152,Lượt đi: Khu dân cư Trung Sơn - Bến Thành - Sân bay Tân Sơn Nhất,Sân bay Tân Sơn Nhất,Khu dân cư Trung Sơn,Sân bay Tân Sơn Nhất,TRUE,55
37_1,152,Lượt về: Sân bay Tân Sơn Nhất - Bến Thành - Khu dân cư Trung Sơn,Khu dân cư Trung Sơn,Sân bay Tân Sơn Nhất,Khu dân cư Trung Sơn,FALSE,50
38_1,16,Lượt đi: Bến xe Chợ Lớn - Bến xe Tân Phú,Bến xe Tân Phú,Bến xe Chợ Lớn,"Trạm Điều hành Tân Phú (0,55ha)",TRUE,50
38_1,16,Lượt về: Bến xe Tân Phú - Bến xe Chợ Lớn,Bến xe Chợ Lớn,"Trạm Điều hành Tân Phú (0,55ha)",Bến xe Chợ Lớn,FALSE,50
39_1,17,Bến Xe Chợ Lớn - ĐH Sài Gòn - KCX Tân Thuận,KCX Tân Thuận,Bến xe Chợ Lớn,Khu chế xuất Tân Thuận,TRUE,55
39_1,17,KCX Tân Thuận - ĐH Sài Gòn - Bến Xe Chợ Lớn,Bến Xe Chợ Lớn,Khu chế xuất Tân Thuận,Bến xe Chợ Lớn,FALSE,55
40_1,18,lượt đi: Bến Thành - Hiệp Thành,Chợ Hiệp Thành,TĐH xe buýt Sài Gòn,Hiệp Thành,TRUE,75
40_1,18,lượt về: Hiệp Thành - Bến Thành,Bến Thành,Hiệp Thành,TĐH xe buýt Sài Gòn,FALSE,75
41_1,19,lượt đi,Đại Học Quốc Gia,TĐH xe buýt Sài Gòn,Đại học Quốc gia,TRUE,80
41_1,19,lượt về,Bến Thành,Đại học Quốc gia,TĐH xe buýt Sài Gòn,FALSE,80
42_1,20,lượt đi,Nhà Bè,TĐH xe buýt Sài Gòn,Bình Khánh,TRUE,50
42_1,20,lượt về,Bến Thành,Bình Khánh,TĐH xe buýt Sài Gòn,FALSE,50
43_1,22,Bến Xe Quận 8 - KCN Lê Minh Xuân,KCN Lê Minh Xuân,Bến xe Quận 8,KCN LÊ MINH XUÂN,TRUE,60
43_1,22,KCN Lê Minh Xuân - Bến Xe Quận 8,Bến Xe Quận 8,KCN LÊ MINH XUÂN,Bến xe Quận 8,FALSE,60
44_1,23,Bến xe Chợ Lớn - Ngã 3 Giồng - Cầu Lớn,Cầu Lớn,Bến xe Chợ Lớn,Cầu Lớn,TRUE,75
44_1,23,Cầu Lớn - Ngã 3 Giồng - Bến xe Chợ Lớn,Bến xe Chợ Lớn,Cầu Lớn,Bến xe Chợ Lớn,FALSE,75
45_1,24,lượt đi,Hóc Môn,Bến xe Miền Đông,Bãi xe buýt 19/5,TRUE,75
45_1,24,lượt về,Bến Xe Miền Đông,Bãi xe buýt 19/5,Bến xe Miền Đông,FALSE,75
46_1,25,lượt đi,Khu Dân Cư Vĩnh Lộc A,Bến xe Quận 8,KDC VĨNH LỘC A,TRUE,60
46_1,25,lượt về,Bến Xe Quận 8,KDC VĨNH LỘC A,Bến xe Quận 8,FALSE,60
48_1,27,lượt đi,An Sương,TĐH xe buýt Sài Gòn,Bến xe An Sương,TRUE,60
48_1,27,lượt về,Bến Thành,Bến xe An Sương,TĐH xe buýt Sài Gòn,FALSE,60
