RouteKey,VariantNumber,AddressNo,Code,Lat,Lng,Name,Routes,Search,Status,StopID,StopType,Street,hasRamp,isWheelChair
133_1,266,183,QBTH 040,10.809.759,106.709.143,Ngã Tư Chu Văn An,"05, 08, 146, 24, 42, 43, 51, 54, 60-3, 60-4, 61-6, 93, 95",NTCVA 183 DBL,Đang khai thác,200363,Trụ dừng,Đinh Bộ Lĩnh,No,No
133_1,266,85,QBTH 041,10.806.908,106.709.341,Cầu Đinh Bộ Lĩnh,"05, 08, 146, 24, 42, 43, 51, 54, 60-3, 60-4, 61-6, 93, 95",CDBL 85 DBL,Đang khai thác,200364,Trụ dừng,Đinh Bộ Lĩnh,No,No
133_1,266,17,QBTH 042,10.804.421,106.709.395,Trạm xăng dầu,"05, 08, 146, 24, 42, 43, 51, 54, 60-3, 60-4, 61-6, 93, 95",Txd 17 DBL,Đang khai thác,200365,Trụ dừng,Đinh Bộ Lĩnh,No,No
133_1,266,205,QBTH 051,10.799.747,106.706.268,Đại học Hồng Bàng,"150, 45, 91, 93",DhHB 205 DBP,Đang khai thác,2001872,Nhà chờ,Điện Biên Phủ,No,No
133_1,266,119,QBTH 050,10.796.775,106.703.247,Trạm Điện Nguyễn Cửu Vân,"150, 45, 93",TDNCV 119 DBP,Đang khai thác,2001875,Nhà chờ,Điện Biên Phủ,No,No
133_1,266,45,QBTH 049,10.795.089,106.701.654,Cầu Điện Biên Phủ,"150, 45, 91, 93",CDBP 45 DBP,Đang khai thác,2001874,Nhà chờ,Điện Biên Phủ,No,No
133_1,266,75,Q1 087,10.791.216,106.700.569,Nguyễn Văn Thủ,"150, 35, 45, 93",NVT 75 NBK,Đang khai thác,2001877,Trụ dừng,Nguyễn Bỉnh Khiêm,No,No
133_1,266,52 -54,Q1 114,1.078.885,106.699.738,UBND Phường Dakao,"150, 35, 93",UPD 52-54 NDC,Đang khai thác,2001879,Nhà chờ,Nguyễn Đình Chiểu,No,No
133_1,266,102,Q1 115,10.786.848,106.697.861,Mạc Đỉnh Chi,"150, 35, 93",MDC 102 NDC,Đang khai thác,2001876,Nhà chờ,Nguyễn Đình Chiểu,No,No
133_1,266,116 - 118,Q1 116,10.785.293,106.696.457,Hai Bà Trưng,"150, 93",HBT 116-118 NDC,Đang khai thác,2001878,Trụ dừng,Nguyễn Đình Chiểu,No,No
133_1,266,138B,Q3 058,10.782.981,106.694.191,Đại học Kinh tế,"150, 31, 93",DhKt 138B NDC,Đang khai thác,2001881,Trụ dừng,Nguyễn Đình Chiểu,No,No
133_1,266,145,Q3 056,1.078.113,106.693.152,Coop Mart Nguyễn Đình Chiểu,"04, 109, 31, 93",CMNDC 145 NKKN,Đang khai thác,200195,Nhà chờ,Nam Kỳ Khởi Nghĩa,No,No
133_1,266,Đối diện 166 - 168,Q3 057,10.779.777,106.694.626,Trường Lê Quý Đôn,"04, 109, 31, 93",TLQD Dd166-168 NKKN,Đang khai thác,200197,Nhà chờ,Nam Kỳ Khởi Nghĩa,No,No
